id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
E1471,Red Hill,Auckland-University,TRAIN,12,EDUCATION,Red Hill,-37.06738541,174.97729374,Auckland-University,-36.85143057,174.76906469,30.313888865928092,Franklin,Waitakere,Auckland,Auckland
E1472,Drury,Auckland-University,TRAIN,9,EDUCATION,Drury,-37.10606959,174.93669402,Auckland-University,-36.85143057,174.76906469,31.99118964946456,Franklin,Waitakere,Auckland,Auckland
E1474,Hamilton Estate,Auckland-University,TRAIN,6,EDUCATION,Hamilton Estate,-37.24583465,174.73952417,Auckland-University,-36.85143057,174.76906469,43.934021413509605,Franklin,Waitakere,Auckland,Auckland
E1475,Drury Rural,Auckland-University,TRAIN,30,EDUCATION,Drury Rural,-37.11220768,174.97476145,Auckland-University,-36.85143057,174.76906469,34.27335660965497,Franklin,Waitakere,Auckland,Auckland
E1478,Puni,Auckland-University,TRAIN,15,EDUCATION,Puni,-37.21369487,174.847442,Auckland-University,-36.85143057,174.76906469,40.8783392257299,Franklin,Waitakere,Auckland,Auckland
E1479,Ramarama,Auckland-University,TRAIN,15,EDUCATION,Ramarama,-37.15945142,174.93408164,Auckland-University,-36.85143057,174.76906469,37.25319173244104,Franklin,Waitakere,Auckland,Auckland
E1480,Hunua,Auckland-University,TRAIN,9,EDUCATION,Hunua,-37.08256361,175.08169261,Auckland-University,-36.85143057,174.76906469,37.84129983726693,Franklin,Waitakere,Waikato,Auckland
E1481,Pukekohe North West,Auckland-University,TRAIN,12,EDUCATION,Pukekohe North West,-37.18225476,174.89580342,Auckland-University,-36.85143057,174.76906469,38.46848240866024,Franklin,Waitakere,Auckland,Auckland
E1482,Anselmi Ridge,Auckland-University,TRAIN,9,EDUCATION,Anselmi Ridge,-37.18633345,174.93550996,Auckland-University,-36.85143057,174.76906469,40.06431561396656,Franklin,Waitakere,Auckland,Auckland
E1483,Pukekohe West,Auckland-University,TRAIN,12,EDUCATION,Pukekohe West,-37.20097025,174.88803986,Auckland-University,-36.85143057,174.76906469,40.276526114603094,Franklin,Waitakere,Auckland,Auckland
E1484,Cape Hill,Auckland-University,TRAIN,9,EDUCATION,Cape Hill,-37.18797047,174.91071330000003,Auckland-University,-36.85143057,174.76906469,39.47807864655401,Franklin,Waitakere,Auckland,Auckland
E1485,Rosa Birch Park,Auckland-University,TRAIN,6,EDUCATION,Rosa Birch Park,-37.20705288,174.89590149999995,Auckland-University,-36.85143057,174.76906469,41.115096592256386,Franklin,Waitakere,Auckland,Auckland
E1486,Rooseville Park,Auckland-University,TRAIN,9,EDUCATION,Rooseville Park,-37.19697684,174.91307633,Auckland-University,-36.85143057,174.76906469,40.494138652614396,Franklin,Waitakere,Auckland,Auckland
E1487,Cloverlea (Auckland),Auckland-University,TRAIN,9,EDUCATION,Cloverlea (Auckland),-37.21592548,174.8926362,Auckland-University,-36.85143057,174.76906469,41.9880139392339,Franklin,Waitakere,Auckland,Auckland
E1488,Pukekohe Hospital,Auckland-University,TRAIN,6,EDUCATION,Pukekohe Hospital,-37.21226696,174.90262406,Auckland-University,-36.85143057,174.76906469,41.83807792932714,Franklin,Waitakere,Auckland,Auckland
E1489,Buckland,Auckland-University,TRAIN,6,EDUCATION,Buckland,-37.22733765,174.91924064,Auckland-University,-36.85143057,174.76906469,43.872802394368364,Franklin,Waitakere,Auckland,Auckland
E1490,Bombay Hills,Auckland-University,TRAIN,12,EDUCATION,Bombay Hills,-37.17536804,175.0022561,Auckland-University,-36.85143057,174.76906469,41.54681222023019,Franklin,Waitakere,Waikato,Auckland
E1491,Ararimu,Auckland-University,TRAIN,12,EDUCATION,Ararimu,-37.14686222,175.08246983,Auckland-University,-36.85143057,174.76906469,43.0554394035568,Franklin,Waitakere,Waikato,Auckland
E1492,Aka Aka,Auckland-University,TRAIN,9,EDUCATION,Aka Aka,-37.29132737,174.77509206,Auckland-University,-36.85143057,174.76906469,48.91721536050543,Franklin,Waitakere,Auckland,Auckland
E1493,Tuakau Rural,Auckland-University,TRAIN,6,EDUCATION,Tuakau Rural,-37.28621227,174.95229059,Auckland-University,-36.85143057,174.76906469,51.005482817673766,Franklin,Waitakere,Waikato,Auckland
E1494,Tuakau North,Auckland-University,TRAIN,9,EDUCATION,Tuakau North,-37.25721309,174.94816256,Auckland-University,-36.85143057,174.76906469,47.83820749743529,Franklin,Waitakere,Waikato,Auckland
E1496,Pokeno,Auckland-University,TRAIN,21,EDUCATION,Pokeno,-37.24416888,175.02021530000005,Auckland-University,-36.85143057,174.76906469,49.02974914074906,Franklin,Waitakere,Waikato,Auckland
E1530,Takanini Central,Auckland-University,TRAIN,12,EDUCATION,Takanini Central,-37.05069884,174.92586896,Auckland-University,-36.85143057,174.76906469,26.174632852648514,Franklin,Waitakere,Auckland,Auckland
E4719,Kingseat-Karaka,Mount Eden North East,TRAIN,6,EDUCATION,Kingseat-Karaka,-37.12442419,174.82148593,Mount Eden North East,-36.86913097,174.76555025,28.81866945497997,Franklin,Waitakere,Auckland,Auckland
